"Отметка времени","Чи знаєте Ви про інсування здорових снеків/батончиків?","Як Ви їх сприймаєте?","Які з перелічених брендів Ви купуєте?","Ви вважаєте ціну на здорові снеки зависокою?","Де Ви найчастіше купуєте снеки?","Чи слідкуєте Ви за своїм харчуванням?","Чи займаєтесь Ви спортом?","Чи вистачає Вам часу для повноцінного харчування?","Ваша стать","Ваш вік ","У якому населеному пункті Ви проживаєте?","Ваш місячний рівень доходу"
"2019/10/30 7:29:57 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitness;Lantmännen АХА;Tekmar;EatMe","Скоріше ні","Спеціалізовані магазини (Еко-лавка);Заправки;Кав`ярні;Аптека","Так","Так","Так","Чоловіча","14-21 рік","Коцюбинське","7-10 тис.грн."
"2019/10/30 7:29:57 PM GMT+2","Так","Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Fitness;Cini Minis;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Чоловіча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 7:30:07 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Жодний з перелічених","Ні","Goodwine","Ні","Так","Так","Чоловіча","14-21 рік","Киев",">30 тис.грн."
"2019/10/30 7:31:49 PM GMT+2","Так","Як перекус","Fitness;Cini Minis;Tekmar;Bakalland BA!","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Мінімаркет (Фора, АТБ)","Ні","Ні","Так","Жіноча","14-21 рік","Дніпро","<4 тис.грн."
"2019/10/30 7:32:14 PM GMT+2","Ні","","","","","","","","","","",""
"2019/10/30 7:32:46 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;EatMe","Скоріше так","Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Дніпро ","4-6 тис.грн."
"2019/10/30 7:33:44 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Tekmar;Bakalland BA!","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Чоловіча","14-21 рік","Київ",">30 тис.грн."
"2019/10/30 7:35:54 PM GMT+2","Так","Як перекус","Fitness;Bakalland BA!;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус, Гудвайн);Кіоск;Заправки","Ні","Так","Ні","Жіноча","14-21 рік","Киев","10-20 тис.грн."
"2019/10/30 7:40:32 PM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Скоріше ні","Спеціалізовані магазини (Еко-лавка)","Так","Так","Ні","Жіноча","14-21 рік","Киев ","<4 тис.грн."
"2019/10/30 7:40:34 PM GMT+2","Так","Як перекус","Fitness;Tekmar;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус, Гудвайн)","Так","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 7:41:53 PM GMT+2","Так","Як перекус","Fitness;Tekmar","Не знаю","Супермаркет (Сільпо, Білла, Варус, Гудвайн);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 7:41:55 PM GMT+2","Ні","","","","","","","","","","",""
"2019/10/30 7:42:19 PM GMT+2","Так","Як перекус","Lantmännen АХА;Bakalland BA!","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус, Гудвайн);Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 7:43:57 PM GMT+2","Так","Як перекус","Fitness;Tekmar","Скоріше ні","Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Виноградар ",""
"2019/10/30 7:43:59 PM GMT+2","Так","Як перекус","Granola Energy;Tekmar;EatMe","Ні","Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","36-45 рік","Киев",""
"2019/10/30 7:45:40 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Tekmar;Bakalland BA!;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Так","Жіноча","22-35 рік","Киев","4-6 тис.грн."
"2019/10/30 7:47:38 PM GMT+2","Так","как замену вредным батончикам","Granola Energy;Bakalland BA!;EatMe;Батончики Гранола","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 7:48:14 PM GMT+2","Так","Як перекус","Fitness;EatMe","Ні","Заправки","Так","Так","Ні","Чоловіча","36-45 рік","Киев",">30 тис.грн."
"2019/10/30 7:48:33 PM GMT+2","Так","Як перекус","Fitness;Tekmar","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Мінімаркет (Фора, АТБ);Кіоск","Так","Так","Так","Жіноча","22-35 рік","Kyjiv","7-10 тис.грн."
"2019/10/30 7:49:19 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше ні","Не купую","Так","Так","Так","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 7:49:42 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка);Кав`ярні","Так","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 7:50:50 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Не знаю","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Так","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 7:52:30 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Bakalland BA!;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Так","Жіноча","22-35 рік","Киев","7-10 тис.грн."
"2019/10/30 7:52:58 PM GMT+2","Так","Як перекус","Fitness","Не знаю","Гіпермаркет (Ашан, Метро, Фоззі)","Так","Так","Так","Чоловіча","14-21 рік","Киев","<4 тис.грн."
"2019/10/30 7:53:01 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Cini Minis","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 7:54:13 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Tekmar;Fitto","Ні","Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","36-45 рік","Київ ","10-20 тис.грн."
